aid,view,danmaku,reply,favorite,coin,share
2,--,19429,23697,8619,3696,2587
9,1662907,11098,11148,19091,2467,2679
7,1906674,46866,52131,19122,5006,3307
12,662251,5306,5316,6806,806,823
28,87349,1702,1257,976,120,64
31,86749,1594,1038,796,55,95
24,264928,6555,1540,4746,492,335
16,250043,2304,4289,2260,327,375
23,--,69603,23361,55463,6187,15932
20,254217,6299,3912,7048,903,388
25,104264,1314,1025,1760,114,125
26,125477,2900,993,3215,394,284
32,24375,232,770,594,36,31
33,58387,484,836,696,40,37
36,35101,382,639,564,65,21
39,488975,15794,3557,5733,393,1019
41,25211,343,547,923,76,39
40,64784,598,1028,721,38,73
44,31008,415,522,524,64,22
45,41445,1079,569,888,126,63
54,12256,218,494,641,59,30
52,44354,270,552,717,166,37
49,46953,203,462,393,14,70
47,127918,1743,1624,2573,658,201
51,105321,1374,506,558,21,37
50,74813,1599,1318,1477,209,127
48,43769,349,462,529,64,28
46,27960,413,381,407,32,73
56,25612,268,382,930,58,48
55,170800,962,7109,1243,327,196
57,90717,1351,720,3840,358,230
60,18639,141,292,567,41,36
62,8784,153,276,217,78,18
63,15636,134,240,213,8,12
64,76018,859,278,1965,159,51
68,18253,217,215,454,30,17
65,32079,294,303,493,79,39
73,17139,235,330,404,24,25
72,10945,196,375,236,18,34
78,16254,132,346,205,12,4
84,12151,158,259,390,21,19
83,130377,3094,621,1398,207,150
79,17883,79,224,207,17,26
86,16054,782,428,544,52,38
88,41637,298,462,570,78,66
90,19376,126,305,209,13,12
93,12777,604,193,411,24,24
94,9220,87,182,226,7,12
96,69490,211,320,309,13,20
95,15729,96,161,195,7,13
98,29536,460,483,437,57,28
97,26952,412,214,459,48,24
102,21551,346,242,205,29,40
100,229677,3358,3767,3750,1540,235
101,98352,876,547,1441,168,62
106,4135631,181784,21922,99141,20997,20058
104,66282,282,420,878,35,157
107,2129219,100959,11231,64351,9626,6977
108,33313,733,219,216,9,14
110,102672,1648,1858,2190,266,113
117,4777,481,125,123,9,10
116,15465,102,316,152,17,12
119,29978,369,499,304,19,17
121,16788,96,239,168,29,23
122,27904,1894,733,215,10,17
128,12883,38,204,268,16,14
127,11445,73,147,231,16,7
130,8936,467,163,116,14,10
132,14647,350,231,529,71,27
139,17999,779,223,448,57,67
137,8655,96,89,60,10,8
136,3635,217,89,98,9,463
140,6528,68,76,84,5,8
138,13662,288,237,346,78,56
143,19641,437,141,980,144,89
142,2733,46,73,94,4,7
141,8848,225,92,106,6,9
144,6429,61,86,155,9,16
148,7120,53,89,140,13,23
150,21556,412,220,443,45,15
151,11043,170,89,221,7,14
153,10892,720,247,194,113,31
154,14084,223,111,152,25,18
152,12117,430,120,128,18,274
157,4758,7,304,95,18,10
158,5815,31,69,91,5,7
160,9792,97,112,165,37,21
162,5976,77,76,85,5,9
166,8841,298,130,158,13,18
167,3640,45,38,92,9,6
164,6679,64,61,65,5,12
177,16659,248,159,122,14,14
185,4653,8,63,70,6,6
189,8248,171,68,179,12,17
193,9419,25,83,133,19,7
192,9099,37,88,110,18,6
195,9849,206,109,178,14,10
196,2435,3,79,66,4,8
200,20998,258,208,181,23,7
201,9546,56,66,79,5,8
203,7916,17,70,70,14,10
205,33840,1891,145,624,100,127
208,8225,44,66,77,12,6
210,4368,113,108,157,18,13
217,117644,503,215,470,30,22
218,3790,9,72,64,5,10
219,8081,16,64,75,62,9
220,6508,24,158,117,11,6
221,19119,63,258,591,51,25
222,8086,422,320,343,71,37
226,10659,290,137,232,15,8
228,3596,14,55,59,6,6
240,6165,92,85,166,21,8
229,14766,94,81,63,6,7
234,6534,48,94,62,6,7
239,46355,422,852,1059,848,280
235,5908,28,60,77,7,6
242,46310,1220,759,1533,423,77
243,7577,338,145,160,12,15
238,2924,264,70,78,8,8
247,5013,146,88,149,20,17
248,45034,612,591,1426,455,154
246,9403,89,65,88,10,5
249,6815,41,78,84,19,9
250,--,1907,1862,1755,214,463
252,4487,24,58,81,8,6
253,4195,58,80,58,7,6
256,9078,167,73,62,6,9
261,6733,74,122,68,5,10
258,23243,638,204,538,87,39
260,25109,1783,89,101,4,8
259,4869,20,58,52,6,4
264,3396,439,52,71,6,9
265,34954,113,134,475,15,9
273,16160,1420,125,604,32,15
275,3431,159,48,37,10,6
271,1401358,623398,5569,15128,2809,1189
276,6423,170,123,97,21,18
274,15743,686,244,979,103,114
270,166000,648,968,3693,258,112
285,3509,110,61,41,7,3
254,6081,148,71,185,13,12
287,3165,48,50,89,5,8
288,9473,99,124,285,16,6
292,39026,1205,78,751,17,22
286,7622,182,183,211,69,31
293,7041,106,49,164,33,25
297,5145,86,50,40,58,8
289,4868,61,37,34,5,9
290,7331,75,80,47,5,6
301,4825,36,107,62,9,8
298,1279,414,85,194,20,7
294,7492,322,53,105,23,8
302,87132,2958,415,1290,427,120
303,3942,28,52,38,3,4
306,5089,20,65,54,4,7
304,18638,6,75,109,5,7
308,1859,117,49,70,6,6
309,4123,47,50,51,5,6
307,11600,126,68,315,29,20
312,18288,631,103,238,26,32
314,5299103,274156,39591,182283,38824,10119
316,47160,63,75,150,14,8
317,10586,24,63,33,11,4
318,10550,282,62,97,13,11
320,4375,38,43,62,2,5
321,3027,85,139,92,4,6
322,17921,758,198,431,30,26
323,3867,110,74,107,16,7
324,4138,34,62,45,12,5
327,1763,14,53,22,2,2
329,5966,259,65,49,12,12
331,7192,121,141,164,32,14
332,2773,30,42,57,5,11
326,796924,7616,1357,567,691,461
336,6365,199,113,234,29,25
